,Unnamed: 0,Word 2,Human (mean),NGD
0,love,sex,6.77,0.1645746829855538
1,tiger,cat,7.35,0.25740630269148845
2,tiger,tiger,10.0,0.025352860473229464
3,book,paper,7.46,0.2338320551035864
4,computer,keyboard,7.62,0.21346785958693326
5,computer,internet,7.58,0.17874073620292813
6,plane,car,5.77,0.3183150455404457
7,train,car,6.31,0.1510239203581806
8,telephone,communication,7.5,0.35701999670518303
9,television,radio,6.77,0.16472036991950945
10,media,radio,7.42,0.1754900543696143
11,drug,abuse,6.85,0.16335454142524886
12,bread,butter,6.19,0.07768613897148799
13,cucumber,potato,5.92,0.1689171343620575
14,doctor,nurse,7.0,0.15678298099998553
15,professor,doctor,6.62,0.22934758039225786
16,student,professor,6.81,0.30453526423769434
17,smart,student,4.62,0.2491819133272809
18,smart,stupid,5.81,0.3382500647864051
19,company,stock,7.08,0.20780372463983146
20,stock,market,8.08,0.06592238314045756
21,stock,phone,1.62,0.2154569965596637
22,stock,CD,1.31,0.2963790788578834
23,stock,jaguar,0.92,0.36170744718831777
24,stock,egg,1.81,0.3786759491378276
25,fertility,egg,6.69,0.2966768497160833
26,stock,live,3.73,0.19032695617146447
27,stock,life,0.92,0.2435225801260943
28,book,library,7.46,0.27089458431547203
29,bank,money,8.12,0.15566215302199876
30,wood,forest,7.73,0.2816714181552916
31,money,cash,9.15,0.1521481261710046
32,professor,cucumber,0.31,0.43901854256445655
33,king,cabbage,0.23,0.4323956580711076
34,king,queen,8.58,0.20885166390776827
35,king,rook,5.92,0.4678082863124305
36,bishop,rabbi,6.69,0.3009645330164422
37,Jerusalem,Israel,8.46,0.1473612914082765
38,Jerusalem,Palestinian,7.65,0.22193314238129647
39,holy,sex,1.62,0.33691892359574777
40,fuck,sex,9.44,0.22240662264579106
41,Maradona,football,8.62,0.3931293671252457
42,football,soccer,9.03,0.11572152560078296
43,football,basketball,6.81,0.14835325323812115
44,football,tennis,6.63,0.16058802470667344
45,tennis,racket,7.56,0.22849117647059525
46,Arafat,peace,6.73,0.42527035320992856
47,Arafat,terror,7.65,0.4073805038146331
48,Arafat,Jackson,2.5,0.4361461984237373
49,law,lawyer,8.38,0.2918769869357848
50,movie,star,7.38,0.039972085420260255
51,movie,popcorn,6.19,0.3469287182288737
52,movie,critic,6.73,-0.012042906572250316
53,movie,theater,7.92,-0.048394485654115416
54,physics,proton,8.12,0.23359339634204196
55,physics,chemistry,7.35,0.16058121503785405
56,space,chemistry,4.88,0.33879951576891915
57,alcohol,chemistry,5.54,0.2258758557378232
58,vodka,gin,8.46,0.04495448524994276
59,vodka,brandy,8.13,0.07980520084101425
60,drink,car,3.04,0.2527631753050191
61,drink,ear,1.31,0.2426220516906623
62,drink,mouth,5.96,0.2904381077908059
63,drink,eat,6.87,0.20443318981154124
64,baby,mother,7.85,0.15132199407173394
65,drink,mother,2.65,0.2544365044801338
66,car,automobile,8.94,0.2998782965353645
67,gem,jewel,8.96,0.28365769946086405
68,journey,voyage,9.29,0.2824495482838236
69,boy,lad,8.83,0.38140932469448857
70,coast,shore,9.1,0.1272466607814759
71,asylum,madhouse,8.87,0.3560051996655893
72,magician,wizard,9.02,0.2582766432852477
73,midday,noon,9.29,0.26194325269189256
74,furnace,stove,8.79,0.2304650578752565
75,food,fruit,7.52,0.2084326575267237
76,bird,cock,7.1,0.40568209089385215
77,bird,crane,7.38,0.2725847544072569
78,tool,implement,6.46,0.3561012824358308
79,brother,monk,6.27,0.3874551862376197
80,crane,implement,2.69,0.38475898677082426
81,lad,brother,4.46,0.3594691474581555
82,journey,car,5.85,0.271378283271468
83,monk,oracle,5.0,0.3262196584725176
84,cemetery,woodland,2.08,0.22178118973376604
85,food,rooster,4.42,0.4286038434711672
86,coast,hill,4.38,0.19145702534405887
87,forest,graveyard,1.85,0.3468873156121116
88,shore,woodland,3.08,0.21126091454620785
89,monk,slave,0.92,0.3734122508611524
90,coast,forest,3.15,0.2297979051198095
91,lad,wizard,0.92,0.3712836749688917
92,chord,smile,0.54,0.5322281001461903
93,glass,magician,2.08,0.4592280472398634
94,noon,string,0.54,0.3747787014777452
95,rooster,voyage,0.62,0.4661355596850588
96,money,dollar,8.42,0.21506192890290396
97,money,cash,9.08,0.1521481261710046
98,money,currency,9.04,0.08944185263979422
99,money,wealth,8.27,0.27823546976237296
100,money,property,7.57,0.1905723899998193
101,money,possession,7.29,0.3496434358966921
102,money,bank,8.5,0.06620080517542754
103,money,deposit,7.73,0.29311716878263017
104,money,withdrawal,6.88,0.3386584086294134
105,money,laundering,5.65,0.4016611559835742
106,money,operation,3.31,0.30989444868813576
107,tiger,jaguar,8.0,0.2805729197771551
108,tiger,feline,8.0,0.3610573356793076
109,tiger,carnivore,7.08,0.1966732299555436
110,tiger,mammal,6.85,0.2263395166836733
111,tiger,animal,7.0,0.24468361158324475
112,tiger,organism,4.77,0.2411103870947465
113,tiger,fauna,5.62,0.35430034249635306
114,tiger,zoo,5.87,0.229613293209856
115,psychology,psychiatry,8.08,0.20065240348499136
116,psychology,anxiety,7.0,0.1215163806806405
117,psychology,fear,6.85,0.15625385985887086
118,psychology,depression,7.42,0.12993422301222196
119,psychology,clinic,6.58,0.17197505282304182
120,psychology,doctor,6.42,0.2699249961573785
121,psychology,Freud,8.21,0.2451276585135752
122,psychology,mind,7.69,0.21370109472821147
123,psychology,health,7.23,0.2537855557369499
124,psychology,science,6.71,0.2485758080270679
125,psychology,discipline,5.58,0.15834381377493734
126,psychology,cognition,7.48,0.21339254166372476
127,planet,star,8.45,0.28806678832403715
128,planet,constellation,8.06,0.3359912838254401
129,planet,moon,8.08,0.1872559445008067
130,planet,sun,8.02,0.2646109369157993
131,planet,galaxy,8.11,0.20313561729290916
132,planet,space,7.92,0.2105911645201493
133,planet,astronomer,7.94,0.3778571170026426
134,precedent,example,5.85,0.3706521837873836
135,precedent,information,3.85,0.5182449730949344
136,precedent,cognition,2.81,0.28229651915326665
137,precedent,law,6.65,0.4343041525800516
138,precedent,collection,2.5,0.4280686748205335
139,precedent,group,1.77,0.4984115817371839
140,precedent,antecedent,6.04,0.4614829139299348
141,cup,coffee,6.58,0.09168663527605524
142,cup,tableware,6.85,0.11806748075712195
143,cup,article,2.4,0.2422361845845652
144,cup,artifact,2.92,0.3448663482595539
145,cup,object,3.69,0.2928852795117025
146,cup,entity,2.15,0.4595097744665967
147,cup,drink,7.25,0.17484327423995244
148,cup,food,5.0,0.21772644352418208
149,cup,substance,1.92,0.3639181585460505
150,cup,liquid,5.9,0.14465348073340098
151,jaguar,cat,7.42,0.2544029488030008
152,jaguar,car,7.27,0.2812143525258518
153,energy,secretary,1.81,0.22635683622623445
154,secretary,senate,5.06,0.2366374535551348
155,energy,laboratory,5.09,0.21590804112188786
156,computer,laboratory,6.78,0.322988802741549
157,weapon,secret,6.06,0.2615677900487391
158,FBI,fingerprint,6.94,0.2824637425692592
159,FBI,investigation,8.31,0.20443830589322928
160,investigation,effort,4.59,0.20938768554838524
161,Mars,water,2.94,0.33521812390584216
162,Mars,scientist,5.63,0.3580637130959167
163,news,report,8.16,0.012618299673779122
164,canyon,landscape,7.53,0.2440348628474485
165,image,surface,4.56,0.31814613041070544
166,discovery,space,6.34,0.2859819014363163
167,water,seepage,6.56,0.45258982237097395
168,sign,recess,2.38,0.4530455984299211
169,Wednesday,news,2.22,0.2510534358666239
170,mile,kilometer,8.66,0.4154537008963538
171,computer,news,4.47,0.1804352395431569
172,territory,surface,5.34,0.281004238815283
173,atmosphere,landscape,3.69,0.13993585144251566
174,president,medal,3.0,0.2722960925005967
175,war,troops,8.13,0.3203346754233368
176,record,number,6.31,0.21669897942239047
177,skin,eye,6.22,0.11338587922397385
178,Japanese,American,6.5,0.3539043931937501
179,theater,history,3.91,0.29003066670254696
180,volunteer,motto,2.56,0.3402714167079718
181,prejudice,recognition,3.0,0.21549155600238454
182,decoration,valor,5.63,0.4304865433477267
183,century,year,7.59,0.2897366297347453
184,century,nation,3.16,0.17366240072322656
185,delay,racism,1.19,0.4012479469728199
186,delay,news,3.31,0.37277776367991095
187,minister,party,6.63,0.2903142349326853
188,peace,plan,4.75,0.3229143185313366
189,minority,peace,3.69,0.2782248166525313
